step,time,phase_name,simulation_time
515,2.579999999999967,Standing,9.68
516,2.584999999999967,Standing,9.66
517,2.589999999999967,Standing,9.64
518,2.594999999999967,Standing,9.62
519,2.599999999999967,Standing,9.6
520,2.6049999999999667,Standing,9.58
521,2.6099999999999666,Standing,9.559999999999999
522,2.6149999999999665,Standing,9.54
523,2.6199999999999664,Standing,9.52
524,2.6249999999999662,Standing,9.5
525,2.629999999999966,Standing,9.48
526,2.634999999999966,Standing,9.459999999999999
527,2.639999999999966,Standing,9.44
528,2.644999999999966,Standing,9.42
529,2.6499999999999657,Standing,9.399999999999999
530,2.6549999999999656,Standing,9.379999999999999
531,2.6599999999999655,Standing,9.36
532,2.6649999999999654,Standing,9.34
533,2.6699999999999653,Standing,9.32
534,2.674999999999965,Standing,9.299999999999999
535,2.679999999999965,Standing,9.28
536,2.684999999999965,Standing,9.26
537,2.689999999999965,Standing,9.239999999999998
538,2.6949999999999648,Standing,9.219999999999999
539,2.6999999999999647,Standing,9.2
540,2.7049999999999645,Standing,9.18
541,2.7099999999999644,Standing,9.16
542,2.7149999999999643,Standing,9.139999999999999
543,2.7199999999999642,Standing,9.12
544,2.724999999999964,Standing,9.1
545,2.729999999999964,Standing,9.079999999999998
546,2.734999999999964,Standing,9.059999999999999
547,2.739999999999964,Standing,9.04
548,2.7449999999999637,Standing,9.02
549,2.7499999999999636,Standing,9.0
550,2.7549999999999635,Standing,8.979999999999999
551,2.7599999999999634,Standing,8.959999999999999
552,2.7649999999999633,Standing,8.94
553,2.769999999999963,Standing,8.919999999999998
554,2.774999999999963,Standing,8.899999999999999
555,2.779999999999963,Standing,8.879999999999999
556,2.784999999999963,Standing,8.86
557,2.7899999999999627,Standing,8.84
558,2.7949999999999626,Standing,8.819999999999999
559,2.7999999999999625,Standing,8.799999999999999
560,2.8049999999999624,Standing,8.78
561,2.8099999999999623,Standing,8.759999999999998
562,2.814999999999962,Standing,8.740000000000002
563,2.819999999999962,Standing,8.72
564,2.824999999999962,Standing,8.700000000000001
565,2.829999999999962,Standing,8.680000000000001
566,2.8349999999999618,Standing,8.66
567,2.8399999999999617,Standing,8.64
568,2.8449999999999616,Standing,8.620000000000001
569,2.8499999999999615,Standing,8.600000000000001
570,2.8549999999999613,Standing,8.580000000000002
571,2.8599999999999612,Standing,8.56
572,2.864999999999961,Standing,8.540000000000001
573,2.869999999999961,Standing,8.520000000000001
574,2.874999999999961,Standing,8.5
575,2.879999999999961,Standing,8.48
576,2.8849999999999607,Standing,8.46
577,2.8899999999999606,Standing,8.440000000000001
578,2.8949999999999605,Standing,8.420000000000002
579,2.8999999999999604,Standing,8.4
580,2.9049999999999603,Standing,8.38
581,2.90999999999996,Standing,8.360000000000001
582,2.91499999999996,Standing,8.34
583,2.91999999999996,Standing,8.32
584,2.92499999999996,Standing,8.3
585,2.9299999999999597,Standing,8.280000000000001
586,2.9349999999999596,Standing,8.260000000000002
587,2.9399999999999595,Standing,8.24
588,2.9449999999999594,Standing,8.22
589,2.9499999999999593,Standing,8.200000000000001
590,2.954999999999959,Standing,8.18
591,2.959999999999959,Standing,8.16
592,2.964999999999959,Standing,8.14
593,2.969999999999959,Standing,8.120000000000001
594,2.974999999999959,Standing,8.100000000000001
595,2.9799999999999587,Standing,8.08
596,2.9849999999999586,Standing,8.06
597,2.9899999999999585,Standing,8.040000000000001
598,2.9949999999999584,Standing,8.02
599,2.9999999999999583,Standing,8.0
600,3.004999999999958,Standing,7.98
601,3.009999999999958,Standing,7.960000000000001
602,3.014999999999958,Standing,7.94
603,3.019999999999958,Standing,7.92
604,3.0249999999999577,Standing,7.9
605,3.0299999999999576,Standing,7.880000000000001
606,3.0349999999999575,Standing,7.86
607,3.0399999999999574,Standing,7.84
608,3.0449999999999573,Standing,7.82
609,3.049999999999957,Standing,7.800000000000001
610,3.054999999999957,Standing,7.78
611,3.059999999999957,Standing,7.76
612,3.064999999999957,Standing,7.74
613,3.0699999999999568,Standing,7.720000000000001
614,3.0749999999999567,Standing,7.7
615,3.0799999999999566,Standing,7.68
616,3.0849999999999564,Standing,7.66
617,3.0899999999999563,Standing,7.640000000000001
618,3.0949999999999562,Standing,7.62
619,3.099999999999956,Standing,7.6
620,3.104999999999956,Standing,7.58
621,3.109999999999956,Standing,7.5600000000000005
622,3.114999999999956,Standing,7.54
623,3.1199999999999557,Standing,7.52
624,3.1249999999999556,Standing,7.5
625,3.1299999999999555,Standing,7.48
626,3.1349999999999554,Standing,7.46
627,3.1399999999999553,Standing,7.4399999999999995
628,3.144999999999955,Standing,7.42
629,3.149999999999955,Standing,7.4
630,3.154999999999955,Standing,7.38
631,3.159999999999955,Standing,7.359999999999999
632,3.1649999999999547,Standing,7.34
633,3.1699999999999546,Standing,7.32
634,3.1749999999999545,Standing,7.3
635,3.1799999999999544,Standing,7.279999999999999
636,3.1849999999999543,Standing,7.26
637,3.189999999999954,Standing,7.24
638,3.194999999999954,Standing,7.22
639,3.199999999999954,Standing,7.199999999999999
640,3.204999999999954,Standing,7.18
641,3.209999999999954,Standing,7.16
642,3.2149999999999537,Standing,7.14
643,3.2199999999999536,Standing,7.119999999999999
644,3.2249999999999535,Standing,7.1
645,3.2299999999999534,Standing,7.08
646,3.2349999999999532,Standing,7.06
647,3.239999999999953,Standing,7.039999999999999
648,3.244999999999953,Standing,7.02
649,3.249999999999953,Standing,7.0
650,3.254999999999953,Standing,6.9799999999999995
651,3.2599999999999527,Standing,6.959999999999999
